NR. CRT.,VIN,DATA INTRARE VO,TIP AUTOVEHICUL,MARCA,MODEL,VERSIUNE,CULOARE,AN FABRICATIE,KM,CAPACITATE CILINDRICA,PUTERE,DATA PRIMEI INMATRICULARI,FURNIZOR,PROVENIENTA,Tip,LOCATIA,PRET CUMPARARE HT LEI,PRET EVALUARE TTC EURO,Data validare pret evaluare,REZERVARI,NR NIR,OBSERVATII,Serie caroserie,Nr inmatriculare vehicul,Discount,VANZARE,Curs ? Dacia,Pret vanzare lei TTC,Pret vanzare lei HT,tva,Data aviz plata,Nr factura,Data factura,Nume cumparator,Conditie interioara,Conditie exterioara,Pret evaluare DVS (TVA inclus),Pret evaluare Retail (TVA inclus),Pret Trade-in (TVA inclus),Stare,Data evaluare,FREVO,Data final garantie,Data actuala,Zile ramase garantie,Rate facturate,Perioada contract,CIV,IESIRE ROL,LIVRATE LA CLIENT,DATA OFERTA ANGAJATI,Data evaluare,Zile stoc / data evaluare,Zile stoc / data intrare,Viteza rotatie
1,VF1HJD40967321860,20/09/2024,AUTOTURISM,DACIA,DUSTER,SL BLUELINE,GRI COMETE,2021,97038,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"9,343.30 ?","12,786.00 ?",10/9/2024,DAW AUTO ES SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO PARCARE, RTFIT",7321860,B110KXV,-11.06%,"14,200.40 ?",4.9748 lei,"70,644.15 lei","59,364.83 lei","11,279.32 lei",11/5/2024,30453431,1/15/2025,DAW AUTO ES SRL,,"Stalp caroserie Stƒnga Cu adƒncituri & Vops (Repara?ie), Usa Fata stƒnga Cu zgƒrieturi (Repara?ie), Aripa Fata stƒnga Cu zgƒrieturi (Informativ), Bara de protectie Fata Cu zgƒrieturi (Informativ), Capota Fata Vopsea s?rit? (Repara?ie), Bara de protectie Spate Cu zgƒrieturi (Informativ), Aripa Spate stƒnga Cu adƒncituri & Vops (Repara?ie), Usa Spate stƒnga Cu zgƒrieturi (Informativ), Perna textila scaun Fata stƒnga P?tat (Cur??are), Mocheta Fata stƒnga Perforat (?nlocuire), Perna textila scaun Fata dreapta P?tat (Cur??are), Placa spate Spate Defect (?nlocuire), Compartiment interior Spate stƒnga Perforat (?nlocuire), Portiera si aripa
dreapta spate revopsite, Revizie 28.11.2023/60211km",,12786,12007,BUNA,02.10.2024/DK,2121, - ,10/22/2025, - ,37,42,CIV,,,-,02.10.2024,#VALUE!,397,117
2,VF1HJD40X67425287,02/10/2024,AUTOTURISM,DACIA,DUSTER,SL BLUELINE,GRIS HIGHLAND,2021,130538,1461,115,5/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC MAVEXIM GAESTI,"9,094.14 ?","14,800.00 ?",10/9/2024,DAW AUTO ES SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO PARCARE, RTFIT",7425287,B110KXR,6.08%,"13,900.40 ?",4.9748 lei,"69,151.71 lei","58,110.68 lei","11,041.03 lei",11/5/2024,30453432,1/15/2025,DAW AUTO ES SRL,"INTERIOR MURDAR-NECESAR IGIENIZARE, COVORAS SOFER GAURIT","A FOST LOVITA IN FATA, TRAVERSA INLOCUITA, REVOPSIT BARA FATA+LATERALA DR, ZGARIAT ORNAMENTE AMBELE BARE, CONDENS IN PROIECTOR DR, ZGARIAT JANTA FATA DR+CAPAC OGLINDA DR, MICI PUNCTE VOPSEA SARITA CAPOTA, CARTE SERVICE 126322KM (07.2024)",14800,15585,13593,MEDIE,02.10.2024/RS,100, -,10/22/2025, -,39,42,CIV,,,-,02.10.2024,#VALUE!,385,105
3,VF1RJL000UC347501,31/05/2024,AUTOTURISM,RENAULT,ARKANA,INTENS E-TECH ,BLACK METALLIC,2022,23715,1598,145,11/10/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"17,117.22 ?","25,000.00 ?",7/31/2024,ALTEX AUTO SRL,,"E-TECH, TAPITERIE PIELE, SCAUNE FATA INCALZITE, SCAUN SOFER CU REGLAJ ELECTRIC, TRAPA MANUALA, ROATA REZERVA TEMPORARA, AROUND VIEW CAMERA, MET05, SSRCCF",C347501,B334ARK,12.00%,"22,000.00 ?",4.9764 lei,"109,480.80 lei","92,000.67 lei","17,480.13 lei",1/22/2025,30453727,1/28/2025,ALTEX AUTO SRL,BUNA,"ZGARIAT ORNAMENT BARA FATA, MICI PUNCTE VOPSEA SARITA CAPOTA, ZGARIETURI FINE CAPOTA+USI DR+BARA FATA, CARTE SERVICE 15571KM (11.2023)",25000,23521,21796,BUNA,24.07.2024/RS,,07/11/2025,10/22/2025,16,16,18,CIV,,,9/19/2024,24.07.2024,#VALUE!,509,242
4,VF1HJD40X67418940,19/09/2024,AUTOTURISM,DACIA,DUSTER,PRESTIGE,GRIS HIGHLAND,2021,69979,1461,115,6/28/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT,"9,803.67 ?","15,111.00 ?",10/9/2024,ALTEX AUTO SRL,,"4WD, STANDARD",7418940,B110WPF,-2.57%,"15,500.00 ?",4.9764 lei,"77,134.20 lei","64,818.66 lei","12,315.54 lei",1/22/2025,30453728,1/28/2025,ALTEX AUTO SRL,,"Usa Fata stƒnga Cu zgƒrieturi (Repara?ie), Carcasa oglinda retrovizoare Fata stƒnga Cu zgƒrieturi (Informativ), Parbriz Fata Cu zgƒrieturi (Informativ), Carcasa oglinda retrovizoare Fata dreapta Cu zgƒrieturi (Repara?ie), Usa Fata dreapta Cu zgƒrieturi (Informativ), Usa Spate dreapta Cu zgƒrieturi (Informativ), Clapeta rezervor de carburant Spate dreapta Defect (?nlocuire), Bara de protectie Spate Cu zgƒrieturi (Informativ), Aripa Spate stƒnga Cu adƒncituri (Repara?ie), Usa Spate stƒnga Cu zgƒrieturi (Informativ), Plafon Centrala Cu zgƒrieturi (Repara?ie), Perna textila scaun Fata stƒnga P?tat (Cur??are), Perna textila scaun Fata dreapta P?tat (Cur??are), Perna textila scaun Spate P?tat (Cur??are), Carlig/Chinga Spate stƒnga Lips? (?nlocuire), Bara fata, bara spate,aripa deapta fata si spate revopsite. Revizie 12.06.2024/66937km",,15111,14105,BUNA,02.10.2024/DK,1510, -,10/22/2025, -,36,42,CIV,,,-,02.10.2024,#VALUE!,398,131
5,VF1HJD40467321717,02/10/2024,AUTOTURISM,DACIA,DUSTER,PRESTIGE,GRIS HIGHLAND,2021,22983,1461,115,6/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"9,979.92 ?","17,300.00 ?",10/30/2024,ALTEX AUTO SRL,,"4WD, STANDARD",7321717,B110WHV,6.94%,"16,100.00 ?",4.9764 lei,"80,120.04 lei","67,327.76 lei","12,792.28 lei",1/22/2025,30453729,1/28/2025,ALTEX AUTO SRL,INTERIOR MURDAR-NECESAR IGIENIZARE,"BATERIE DESCARCATA-NECESAR INLOCUIRE, ZGARIAT USOR BARA SPATE+HAION, INFUNDAT ARIPA SPATE DR, CARTE SERVICE 15303KM (10.2023), NECESAR REVIZIE 1AN",17300,17308,15532,BUNA,23.10.2024/RS,400, - ,10/22/2025, - ,35,42,CIV,,,-,23.10.2024,#VALUE!,385,118
6,VF1MA000869810784,02/10/2024,AUTOUTILITARA,RENAULT,MASTER,FG L3H2 TR,GRI URBAN,2022,29591,2299,180,12/30/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"16,532.24 ?","25,000.00 ?",10/11/2024,ALTEX AUTO SRL,,"FURGON L3H2 TRACTIUNE 3L, PROIECTOARE CEATA, AER CONDIT.CU REGLARE AUT, BARAV, REGULATOR DE VITEZA, PODEA DIN LEMN ANTI-DERAP, SCAUN SOFER CU REG PE H, PROTEC LEMN SPATIU MARFA, CAPACITATE REZEVOR 105 L, PARKING ASSIST, R-LINK, SMART PHONE REPLICATION, R134A, COTIERA SCAUN SOFER",9810784,B116GPZ,10.00%,"22,500.00 ?",4.9764 lei,"111,969.00 lei","94,091.60 lei","17,877.40 lei",1/22/2025,30453730,1/28/2025,ALTEX AUTO SRL,"INTERIOR MURDAR-NECESAR IGIENIZARE, SCAUN SOFER GAURIT 2X1CM","PARBRIZ CIOBIT 3X2CM, LAMELE STERGATOR UZATE, ZGARIETURI FINE PE AMBELE LATERALE",25000,28964,26924,BUNA,04.10.2024/RS,100,19/12/2025,10/22/2025,58,20,20,CIV,,,10/18/2024,04.10.2024,#VALUE!,385,118
7,VF1HJD40767321856,03/10/2024,AUTOTURISM,DACIA,DUSTER,SL BLUELINE,GRI COMETE,2021,41337,1461,115,6/25/2021,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT,"9,218.93 ?","17,000.00 ?",11/17/2024,ALTEX AUTO SRL,,"4WD, AER CONDITIONAT AUTOMAT, SENZORI PARCARE SPATE, CAMERA VIDEO PARCARE, RTFIT",7321856,B110KKP,6.76%,"15,850.00 ?",4.9764 lei,"78,875.94 lei","66,282.30 lei","12,593.64 lei",1/22/2025,30453731,1/28/2025,ALTEX AUTO SRL,BUNA,"MARTOR ANTIPOLUARE APRINS, REVOPSIT BARA FATA, ZGARIAT BARA FATA+MUCHIE USI FATA, INFUNDAT 2CM USA FATA ST, INFUNDATURI USOARE USA FATA DR, CARTE SERVICE 38134KM (05.2024)",17000,16185,14422,BUNA,07.11.2024/RS,100, - ,10/22/2025, - ,38,42,CIV,,,-,07.11.2024,#VALUE!,384,117
8,VF1AG000270384646,28/11/2024,AUTOTURISM,RENAULT,ZOE,EQUILIBRE Z.E. 40 - R110,ALB GLACIER,2023,9,ELECTRIC,110,12/16/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,MERIDIAN NORD,"81,452.40 lei","21,000.00 ?",,ALTEX AUTO SRL,,"INCARCARE RAPIDA DC 50, BATERIE",0384646,B122ZHC,4.76%,"20,000.00 ?",5.0013 lei,"100,026.00 lei","84,055.46 lei","15,970.54 lei",1/22/2025,RCRF4005580VO,1/29/2025,ALTEX AUTO SRL,STARE NOUA,STARE NOUA,21000,25477,22512,F BUNA,29.11.2024/RS,,4/20/2027,10/22/2025,545,-,-,,,,-,29.11.2024,#VALUE!,328,62
9,VF1AG000570919534,28/11/2024,AUTOTURISM,RENAULT,ZOE,EQUILIBRE Z.E. 40 - R110,ALB GLACIER,2023,8,ELECTRIC,110,12/16/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,TI SUEROM,"81,452.40 lei","21,000.00 ?",,STAR MOTOR SRL,,"INCARCARE RAPIDA DC 50, BATERIE, SMARTPHONE IMITATION 2",0919534,B122ZHF,7.38%,"19,450.00 ?",5.0014 lei,"97,277.23 lei","81,745.57 lei","15,531.66 lei",12/30/2024,RCRF4005581VO,1/29/2025,STAR MOTOR SRL,STARE NOUA,STARE NOUA,21000,25477,22512,F BUNA,29.11.2024/RS,,6/15/2027,10/22/2025,601,-,-,,,,-,29.11.2024,#VALUE!,328,62
10,VF1AG000769970575,28/11/2024,AUTOTURISM,RENAULT,ZOE,EQUILIBRE Z.E. 40 - R110,ALB GLACIER,2023,7,ELECTRIC,110,12/16/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,MERIDIAN NORD,"81,452.40 lei","21,000.00 ?",,STAR MOTOR SRL,,"INCARCARE RAPIDA DC 50, BATERIE",9970575,B122ZHI,7.38%,"19,450.00 ?",5.0014 lei,"97,277.23 lei","81,745.57 lei","15,531.66 lei",12/30/2024,RCRF4005582VO,1/29/2025,STAR MOTOR SRL,STARE NOUA,STARE NOUA,21000,25477,22512,F BUNA,29.11.2024/RS,,4/13/2027,10/22/2025,538,-,-,,,,-,29.11.2024,#VALUE!,328,62
